Date,Close/Last,Volume,Open,High,Low
08/24/2025,113276.00,N/A,115036.00,113665.00,112176.00
08/23/2025,114979.00,N/A,115563.00,115663.00,114939.00
08/22/2025,115501.00,N/A,112922.00,117024.00,115455.00
08/21/2025,113003.00,N/A,113962.00,113522.00,112343.00
08/20/2025,114089.00,N/A,113532.00,114776.00,113912.00
08/19/2025,113494.00,N/A,114857.00,113644.00,112688.00
08/18/2025,114896.00,N/A,115338.00,116729.00,114890.00
08/17/2025,115222.00,N/A,117694.00,117553.00,115017.00
08/16/2025,117480.00,N/A,118971.00,117915.00,117257.00
08/15/2025,117575.00,N/A,118988.00,117915.00,117257.00
08/14/2025,118947.00,N/A,123362.00,119098.00,118057.00
08/13/2025,123361.00,N/A,119481.00,124437.00,123282.00
08/12/2025,119572.00,N/A,118865.00,120181.00,119102.00
08/11/2025,118867.00,N/A,121737.00,119278.00,118619.00
08/10/2025,118121.00,N/A,116528.00,119109.00,116468.00
08/09/2025,118171.00,N/A,116387.00,118482.00,116468.00
08/08/2025,116383.00,N/A,116745.00,116753.00,116364.00
08/07/2025,116724.00,N/A,114552.00,117625.00,116702.00
08/06/2025,114587.00,N/A,113522.00,115194.00,114412.00
08/05/2025,113597.00,N/A,114254.00,114132.00,113414.00
08/04/2025,114289.00,N/A,114590.00,115112.00,114260.00
08/03/2025,114582.00,N/A,113624.00,114991.00,114116.00
08/02/2025,113731.00,N/A,113904.00,113740.00,111992.00
08/01/2025,113815.00,N/A,115652.00,113904.00,113209.00
07/31/2025,115655.00,N/A,118444.00,116055.00,114392.00
07/30/2025,118537.00,N/A,118162.00,118537.00,117816.00
07/29/2025,118122.00,N/A,118749.00,118163.00,117430.00
07/28/2025,118675.00,N/A,119280.00,118698.00,117467.00
07/27/2025,119260.00,N/A,118194.00,119788.00,118966.00
07/26/2025,117963.00,N/A,117214.00,118298.00,117151.00
07/25/2025,117595.00,N/A,115420.00,117758.00,117151.00
07/24/2025,115414.00,N/A,118516.00,118450.00,115349.00
07/23/2025,118684.00,N/A,118609.00,119279.00,118584.00
07/22/2025,118607.00,N/A,117200.00,120090.00,118607.00
07/21/2025,117048.00,N/A,118408.00,117912.00,116199.00
07/20/2025,118313.00,N/A,117968.00,118617.00,116541.00
07/19/2025,117968.00,N/A,118340.00,118165.00,117658.00
07/18/2025,118263.00,N/A,120222.00,118389.00,117632.00
07/17/2025,120259.00,N/A,118137.00,120723.00,119057.00
07/16/2025,117849.00,N/A,117321.00,118196.00,117031.00
07/15/2025,117454.00,N/A,117140.00,118196.00,117031.00
07/14/2025,117387.00,N/A,120749.00,119944.00,116908.00
07/13/2025,120913.00,N/A,117756.00,121156.00,118914.00
07/12/2025,117793.00,N/A,117745.00,117828.00,117248.00
07/11/2025,117522.00,N/A,115994.00,118848.00,115262.00
07/10/2025,116726.00,N/A,111082.00,116782.00,115262.00
07/09/2025,111057.00,N/A,108380.00,111529.00,110894.00
07/08/2025,108371.00,N/A,107912.00,109137.00,108367.00
07/07/2025,107937.00,N/A,109393.00,108528.00,107474.00
07/06/2025,109404.00,N/A,108054.00,109687.00,108684.00
07/05/2025,108035.00,N/A,108159.00,108267.00,108030.00
07/04/2025,108174.00,N/A,109246.00,108264.00,107798.00
07/03/2025,109257.00,N/A,108639.00,109724.00,109117.00
07/02/2025,108711.00,N/A,106191.00,109113.00,108551.00
07/01/2025,106192.00,N/A,107203.00,106226.00,105164.00
06/30/2025,107180.00,N/A,108510.00,107532.00,107046.00
06/29/2025,108534.00,N/A,107218.00,108777.00,108262.00
06/28/2025,107218.00,N/A,107308.00,107506.00,107188.00
06/27/2025,107255.00,N/A,107486.00,107255.00,106822.00
06/26/2025,107519.00,N/A,107872.00,107520.00,106491.00
06/25/2025,107838.00,N/A,106246.00,108261.00,107118.00
06/24/2025,106259.00,N/A,104959.00,106776.00,105828.00
06/23/2025,104945.00,N/A,101152.00,105477.00,104744.00
06/22/2025,101153.00,N/A,102380.00,101558.00,100506.00
06/21/2025,102151.00,N/A,103507.00,103300.00,101863.00
06/20/2025,103617.00,N/A,104610.00,103698.00,103133.00
06/19/2025,104617.00,N/A,105103.00,104820.00,104405.00
06/18/2025,104964.00,N/A,105185.00,105209.00,104493.00
06/17/2025,104994.00,N/A,107506.00,105174.00,104385.00
06/16/2025,107588.00,N/A,105927.00,107747.00,106163.00
06/15/2025,105906.00,N/A,105483.00,105961.00,104994.00
06/14/2025,105512.00,N/A,105238.00,105685.00,105303.00
06/13/2025,105209.00,N/A,104330.00,106197.00,105209.00
06/12/2025,104098.00,N/A,107874.00,105703.00,102740.00
06/11/2025,107884.00,N/A,109725.00,108776.00,107745.00
06/10/2025,109567.00,N/A,107763.00,110303.00,109064.00
06/09/2025,109514.00,N/A,105663.00,110303.00,109392.00
06/08/2025,105436.00,N/A,104762.00,105772.00,105408.00
06/07/2025,105814.00,N/A,104407.00,105912.00,103911.00
06/06/2025,104880.00,N/A,102508.00,104909.00,103911.00
06/05/2025,102513.00,N/A,105052.00,102524.00,101128.00
06/04/2025,105070.00,N/A,105533.00,105245.00,104663.00
06/03/2025,105582.00,N/A,105483.00,105841.00,105149.00
06/02/2025,105514.00,N/A,104840.00,106490.00,105354.00
06/01/2025,104904.00,N/A,104385.00,105732.00,104584.00
05/31/2025,103495.00,N/A,105884.00,104267.00,103091.00
05/30/2025,103675.00,N/A,106016.00,104267.00,103091.00
05/29/2025,106021.00,N/A,108049.00,106193.00,104716.00
05/28/2025,108045.00,N/A,108872.00,108485.00,107465.00
05/27/2025,108925.00,N/A,108898.00,109238.00,108414.00
05/26/2025,108951.00,N/A,109616.00,109665.00,107572.00
05/25/2025,109633.00,N/A,108093.00,109840.00,108694.00
05/24/2025,108191.00,N/A,108349.00,108236.00,107230.00
05/23/2025,108121.00,N/A,111121.00,108335.00,106905.00
05/22/2025,111129.00,N/A,111749.00,111779.00,111039.00
05/21/2025,111831.00,N/A,106841.00,111831.00,109282.00
05/20/2025,107030.00,N/A,105767.00,107198.00,106211.00
05/19/2025,105681.00,N/A,103631.00,106808.00,105561.00
05/18/2025,103927.00,N/A,103296.00,107081.00,103765.00
05/17/2025,103263.00,N/A,103514.00,103412.00,103114.00
05/16/2025,103477.00,N/A,104029.00,103546.00,102627.00
05/15/2025,104080.00,N/A,102764.00,104450.00,103473.00
05/14/2025,102884.00,N/A,103586.00,103867.00,102781.00
05/13/2025,103570.00,N/A,101726.00,104116.00,103475.00
05/12/2025,101658.00,N/A,104089.00,102795.00,101510.00
05/11/2025,104075.00,N/A,104031.00,105032.00,103711.00
05/10/2025,104113.00,N/A,103226.00,104931.00,103477.00
05/09/2025,103178.00,N/A,102460.00,103267.00,102837.00
05/08/2025,102442.00,N/A,99154.50,103271.00,102366.00
05/07/2025,98987.30,N/A,96510.20,99153.10,96901.90
05/06/2025,94440.50,N/A,94772.10,94927.70,94051.50
05/05/2025,94510.30,N/A,94062.20,94927.70,94051.50
05/04/2025,94119.10,N/A,95737.20,94819.50,93590.80
05/03/2025,96120.20,N/A,96889.90,96922.20,96110.40
05/02/2025,96398.90,N/A,97109.00,96922.20,96317.90
05/01/2025,97165.10,N/A,94780.90,97232.00,96481.60
04/30/2025,94799.50,N/A,95009.50,95025.00,94168.10
04/29/2025,94976.90,N/A,94662.60,94986.20,94154.00
04/28/2025,94767.30,N/A,93855.20,95436.80,94461.40
04/27/2025,93829.50,N/A,94154.50,93953.80,92818.90
04/26/2025,94183.80,N/A,94750.10,95324.40,94081.70
04/25/2025,94759.50,N/A,93316.20,95207.00,94562.30
04/24/2025,93381.30,N/A,92689.30,94421.00,92867.20
04/23/2025,92757.80,N/A,93171.50,93785.10,92739.10
